EUCLID DfE Number,EUCLID School Code,match on school code,school code same in both sheets,EUCLID National Centre Number,School Name,School type,Average wider points score for pupils aged 17 2014,Z score 2014,Average wider points score for pupils aged 17 2015,Z score 2015,Average wider points score for pupils aged 17 2016,Z Score 2016,Average Z score 2014-2016,Above or Below Average,Notes,Change check 2014-15,Change check 2015-16,Upload check,Upload double check
6744095,10827,10827,TRUE,68564,Tonypandy Community College,Comprehensive School,726,-0.66,717.8,-0.71,788.62,-0.39,-0.59,Below Average,,OK,OK,Below Average,TRUE
6744096,15719,15719,TRUE,68573,Y Pant Comprehensive School,Comprehensive School,718.9,-0.71,807.9,-0.1,908.15,0.48,-0.11,Below Average,,OK,OK,Below Average,TRUE
6744097,10820,10820,TRUE,68535,Ysgol Gyfun Cymer Rhondda,Comprehensive School,657.2,-1.11,797.9,-0.17,898.57,0.41,-0.29,Below Average,,OK,OK,Below Average,TRUE
6744105,17191,17191,TRUE,68513,Ysgol Gyfun Rhydywaun,Comprehensive School,835,0.04,786.2,-0.25,740.82,-0.73,-0.31,Below Average,,OK,OK,Below Average,TRUE
6744602,10812,10812,TRUE,68568,Cardinal Newman R.C. Comprehensive,Comprehensive School,804.2,-0.16,832.4,0.06,812.13,-0.22,-0.1,Below Average,,OK,OK,Below Average,TRUE
6744604,10972,10972,TRUE,68510,St John Baptist C.I.W. High School,Comprehensive School,693.9,-0.87,621.9,-1.35,570.06,-1.97,-1.4,Below Average,,OK,OK,Below Average,TRUE
6745500,15847,15847,TRUE,68540,Ysgol Llanhari,Comprehensive School,656.6,-1.12,708,-0.77,787.86,-0.39,-0.76,Below Average,,OK,OK,Below Average,TRUE
6754011,10795,#N/A,#N/A,68547,Afon Taf High School,Comprehensive School,812.7,-0.1,No Data,No Data,No Data,No Data,-0.1,Below Average,No Data for 2016 or 2015. No news on merger or closure,No Data,No Data,#N/A,#N/A
6754012,10798,#N/A,#N/A,68550,Pen-Y-Dre High School,Comprehensive School,643.4,-1.2,No Data,No Data,No Data,No Data,-1.2,Below Average,No Data for 2016 or 2015. No news on merger or closure,No Data,No Data,#N/A,#N/A
6754013,10797,10797,TRUE,68549,Cyfarthfa High School,Comprehensive School,853.5,0.16,No Data,No Data,No Data,No Data,0.16,Above Average,No Data for 2016 or 2015. No news on merger or closure,No Data,No Data,Above Average,TRUE
6754600,10796,10796,TRUE,68548,Bishop Hedley High School,Comprehensive School,896.6,0.44,No Data,No Data,No Data,No Data,0.44,Above Average,No Data no information on merger or closure,No Data,No Data,Above Average,TRUE
6764065,15494,15494,TRUE,68531,St Cenydd School,Comprehensive School,955.7,0.83,977.8,1.03,981.93,1.01,0.96,Above Average,,OK,OK,Above Average,TRUE
6764070,10769,10769,TRUE,68533,St Martin's Comprehensive School,Comprehensive School,681.8,-0.95,668.9,-1.03,649.77,-1.39,-1.13,Below Average,,OK,OK,Below Average,TRUE
6764073,10758,10758,TRUE,68514,Heolddu Comprehensive School,Comprehensive School,794.9,-0.22,768.8,-0.36,816.93,-0.18,-0.25,Below Average,,OK,OK,Below Average,TRUE
6764075,12317,12317,TRUE,68560,Lewis School Pengam,Comprehensive School,896.2,0.44,827.5,0.03,727.25,-0.83,-0.12,Below Average,,OK,OK,Below Average,TRUE
6764077,10793,10793,TRUE,68593,Lewis Girls' Comprehensive School,Comprehensive School,893.8,0.43,902.3,0.53,900.93,0.43,0.46,Above Average,,OK,OK,Above Average,TRUE
6764090,15726,15726,TRUE,68579,Rhymney Comprehensive School,Comprehensive School,704.8,-0.8,587.2,-1.58,560.87,-2.03,-1.47,Below Average,,OK,OK,Below Average,TRUE
6764093,14841,14841,TRUE,68518,Bedwas High School,Comprehensive School,578.7,-1.62,642.8,-1.21,617.29,-1.63,-1.49,Below Average,,OK,OK,Below Average,TRUE
6764103,12187,12187,TRUE,68502,Ysgol Gyfun Cwm Rhymni,Comprehensive School,840.7,0.08,822.5,0,877.26,0.25,0.11,Above Average,,OK,OK,Above Average,TRUE
6765400,16977,16977,TRUE,68337,Cwmcarn High School,Comprehensive School,648.6,-1.17,694.7,-0.86,762.09,-0.58,-0.87,Below Average,,OK,OK,Below Average,TRUE
6784051,12298,12298,TRUE,68326,Croesyceiliog School,Comprehensive School,1042.1,1.39,946.9,0.83,1001.12,1.15,1.12,Above Average,,OK,OK,Above Average,TRUE
6784075,16614,16614,TRUE,68355,Ysgol Gyfun Gwynllyw,Comprehensive School,946.6,0.77,981,1.06,977.4,0.98,0.94,Above Average,,OK,OK,Above Average,TRUE
6784603,12321,12321,TRUE,68376,St Alban's R.C. High School,Comprehensive School,680.1,-0.96,605.1,-1.46,579.28,-1.9,-1.44,Below Average,,OK,OK,Below Average,TRUE
6794060,14797,14797,TRUE,68348,Monmouth Comprehensive School,Comprehensive School,773,-0.36,778.7,-0.3,910.18,0.49,-0.05,Below Average,,OK,OK,Below Average,TRUE
6794064,12293,12293,TRUE,68301,King Henry VIII Comprehensive School,Comprehensive School,717.9,-0.72,622.1,-1.35,866.05,0.17,-0.63,Below Average,,OK,Big Change,Below Average,TRUE
6794065,12296,12296,TRUE,68321,Chepstow Comprehensive School,Comprehensive School,681.6,-0.95,729.8,-0.63,697.46,-1.05,-0.87,Below Average,,OK,OK,Below Average,TRUE
6794066,14737,14737,TRUE,68317,Caldicot School,Comprehensive School,651.3,-1.15,768.6,-0.37,774.59,-0.49,-0.67,Below Average,,OK,OK,Below Average,TRUE
6796008,12304,12304,TRUE,68349,Monmouth School,Independent School,796.3,-0.21,802,-0.14,828.79,-0.1,-0.15,Below Average,,OK,OK,Below Average,TRUE
6796009,12305,12305,TRUE,68350,Haberdashers' Monmouth School For Girls,Independent School,813.4,-0.1,890,0.45,865.62,0.17,0.17,Above Average,,OK,OK,Above Average,TRUE
6804003,12316,12316,TRUE,68364,St Julian's Comprehensive School,Comprehensive School,701,-0.83,589.6,-1.56,844.18,0.02,-0.79,Below Average,,OK,Big Change,Below Average,TRUE
6804020,12308,12308,TRUE,68358,Duffryn High School,Comprehensive School,713.5,-0.75,634.7,-1.26,780.14,-0.45,-0.82,Below Average,,OK,OK,Below Average,TRUE
6804021,18949,18949,TRUE,68359,Llanwern High School,Comprehensive School,336.3,-3.2,494.8,-2.2,484.62,-2.58,-2.66,Below Average,,Big Change,OK,Below Average,TRUE
6804025,17748,17748,TRUE,68357,Newport High School,Comprehensive School,649.6,-1.16,752.7,-0.47,757.97,-0.61,-0.75,Below Average,,OK,OK,Below Average,TRUE
6804026,14622,14622,TRUE,68360,Lliswerry High School,Comprehensive School,746.8,-0.53,703.1,-0.8,823.73,-0.13,-0.49,Below Average,,OK,OK,Below Average,TRUE
6804030,12307,12307,TRUE,68306,Bassaleg School,Comprehensive School,914.5,0.56,930.3,0.72,890.51,0.35,0.54,Above Average,,OK,OK,Above Average,TRUE
6804059,15425,15425,TRUE,68312,Caerleon Comprehensive School,Comprehensive School,1074.6,1.6,1140.8,2.13,1131.1,2.09,1.94,Above Average,,OK,OK,Above Average,TRUE
6804602,12313,12313,TRUE,68363,St Joseph's  R.C.High School,Comprehensive School,1012.4,1.2,951.8,0.86,992.11,1.09,1.05,Above Average,,OK,OK,Above Average,TRUE
6806003,15942,15942,TRUE,68362,Rougemont School,Independent School,882.8,0.36,779.1,-0.3,758.58,-0.6,-0.18,Below Average,,OK,OK,Below Average,TRUE
6814039,10772,10772,TRUE,68729,Cardiff High School,Comprehensive School,1056,1.48,1057.6,1.57,1122.51,2.03,1.69,Above Average,,OK,OK,Above Average,TRUE
6814042,10777,10777,TRUE,68722,Fitzalan High School,Comprehensive School,695.2,-0.87,657.9,-1.11,625.83,-1.56,-1.18,Below Average,,OK,OK,Below Average,TRUE
6814049,10771,10771,TRUE,68718,Cantonian High School,Comprehensive School,664.3,-1.07,641.9,-1.21,683.16,-1.15,-1.14,Below Average,,OK,OK,Below Average,TRUE
6814051,14541,14541,TRUE,68736,Llanishen High School,Comprehensive School,932.5,0.68,947.4,0.83,868.06,0.19,0.57,Above Average,,OK,OK,Above Average,TRUE
6814054,10774,10774,TRUE,68720,Cathays High School,Comprehensive School,588.5,-1.56,356,-3.13,427.66,-3,-2.56,Below Average,,Big Change,OK,Below Average,TRUE
6814070,14576,14576,TRUE,68742,Radyr Comprehensive School,Comprehensive School,1059.9,1.51,1013.6,1.27,1055.51,1.54,1.44,Above Average,,OK,OK,Above Average,TRUE
